ts,value
2024-12-22 00:00:00,3.375
2024-12-22 00:01:00,3.398
2024-12-22 00:02:00,3.362
2024-12-22 00:03:00,3.362
2024-12-22 00:04:00,3.318
2024-12-22 00:05:00,3.375
2024-12-22 00:06:00,3.387
2024-12-22 00:07:00,3.4
2024-12-22 00:08:00,3.4
2024-12-22 00:09:00,3.4
2024-12-22 00:10:00,3.392
2024-12-22 00:11:00,3.368
2024-12-22 00:12:00,3.325
2024-12-22 00:13:00,3.325
2024-12-22 00:14:00,3.312
2024-12-22 00:15:00,3.287
2024-12-22 00:16:00,3.281
2024-12-22 00:17:00,3.28
2024-12-22 00:18:00,3.275
2024-12-22 00:19:00,3.275
2024-12-22 00:20:00,3.274
2024-12-22 00:21:00,3.275
2024-12-22 00:22:00,3.312
2024-12-22 00:23:00,3.31
2024-12-22 00:24:00,3.356
2024-12-22 00:25:00,3.381
2024-12-22 00:26:00,3.39
2024-12-22 00:27:00,3.393
2024-12-22 00:28:00,3.397
2024-12-22 00:29:00,3.4
2024-12-22 00:30:00,3.4
2024-12-22 00:31:00,3.4
2024-12-22 00:32:00,3.402
2024-12-22 00:33:00,3.402
2024-12-22 00:34:00,3.402
2024-12-22 00:35:00,3.403
2024-12-22 00:36:00,3.403
2024-12-22 00:37:00,3.402
2024-12-22 00:38:00,3.337
2024-12-22 00:39:00,3.343
2024-12-22 00:40:00,3.356
2024-12-22 00:41:00,3.342
2024-12-22 00:42:00,3.331
2024-12-22 00:43:00,3.337
2024-12-22 00:44:00,3.331
2024-12-22 00:45:00,3.3
2024-12-22 00:46:00,3.281
2024-12-22 00:47:00,3.278
2024-12-22 00:48:00,3.275
2024-12-22 00:49:00,3.275
