ts,value
2024-12-22 00:00:00,60.6
2024-12-22 00:01:00,61.2
2024-12-22 00:02:00,61.5
2024-12-22 00:03:00,61.8
2024-12-22 00:04:00,61.6
2024-12-22 00:05:00,61.6
2024-12-22 00:06:00,62.1
2024-12-22 00:07:00,62.6
2024-12-22 00:08:00,63.2
2024-12-22 00:09:00,63.8
2024-12-22 00:10:00,64.3
2024-12-22 00:11:00,64.6
2024-12-22 00:12:00,64.5
2024-12-22 00:13:00,64.2
2024-12-22 00:14:00,63.8
2024-12-22 00:15:00,63.3
2024-12-22 00:16:00,62.6
2024-12-22 00:17:00,62.0
2024-12-22 00:18:00,61.3
2024-12-22 00:19:00,60.6
2024-12-22 00:20:00,60.1
2024-12-22 00:21:00,59.5
2024-12-22 00:22:00,59.3
2024-12-22 00:23:00,59.1
2024-12-22 00:24:00,59.3
2024-12-22 00:25:00,59.9
2024-12-22 00:26:00,60.5
2024-12-22 00:27:00,61.0
2024-12-22 00:28:00,61.6
2024-12-22 00:29:00,62.2
2024-12-22 00:30:00,62.8
2024-12-22 00:31:00,63.4
2024-12-22 00:32:00,63.9
2024-12-22 00:33:00,64.2
2024-12-22 00:34:00,64.5
2024-12-22 00:35:00,65.1
2024-12-22 00:36:00,65.7
2024-12-22 00:37:00,66.3
2024-12-22 00:38:00,66.3
2024-12-22 00:39:00,66.2
2024-12-22 00:40:00,66.2
2024-12-22 00:41:00,66.2
2024-12-22 00:42:00,66.2
2024-12-22 00:43:00,66.0
2024-12-22 00:44:00,65.9
2024-12-22 00:45:00,65.5
2024-12-22 00:46:00,64.9
2024-12-22 00:47:00,64.2
2024-12-22 00:48:00,63.6
2024-12-22 00:49:00,62.9
