ts,value
2024-12-22 00:00:00,809.6
2024-12-22 00:01:00,815.4
2024-12-22 00:02:00,805.8
2024-12-22 00:03:00,806.4
2024-12-22 00:04:00,794.8
2024-12-22 00:05:00,809.9
2024-12-22 00:06:00,812.7
2024-12-22 00:07:00,815.7
2024-12-22 00:08:00,816.1
2024-12-22 00:09:00,816.3
2024-12-22 00:10:00,813.9
2024-12-22 00:11:00,808.1
2024-12-22 00:12:00,796.1
2024-12-22 00:13:00,795.6
2024-12-22 00:14:00,792.4
2024-12-22 00:15:00,786.2
2024-12-22 00:16:00,784.9
2024-12-22 00:17:00,784.1
2024-12-22 00:18:00,783.5
2024-12-22 00:19:00,783.2
2024-12-22 00:20:00,782.8
2024-12-22 00:21:00,783.5
2024-12-22 00:22:00,793.1
2024-12-22 00:23:00,793.0
2024-12-22 00:24:00,805.1
2024-12-22 00:25:00,811.6
2024-12-22 00:26:00,813.6
2024-12-22 00:27:00,814.7
2024-12-22 00:28:00,815.4
2024-12-22 00:29:00,815.7
2024-12-22 00:30:00,815.9
2024-12-22 00:31:00,816.1
2024-12-22 00:32:00,816.5
2024-12-22 00:33:00,816.55
2024-12-22 00:34:00,816.6
2024-12-22 00:35:00,816.7
2024-12-22 00:36:00,816.9
2024-12-22 00:37:00,816.8
2024-12-22 00:38:00,798.7
2024-12-22 00:39:00,800.7
2024-12-22 00:40:00,804.7
2024-12-22 00:41:00,800.2
2024-12-22 00:42:00,798.3
2024-12-22 00:43:00,798.6
2024-12-22 00:44:00,797.3
2024-12-22 00:45:00,789.6
2024-12-22 00:46:00,784.9
2024-12-22 00:47:00,784.0
2024-12-22 00:48:00,783.5
2024-12-22 00:49:00,783.1
