ts,value
2024-12-22 00:00:00,-79.7
2024-12-22 00:01:00,-132.3
2024-12-22 00:02:00,-19.0
2024-12-22 00:03:00,-26.3
2024-12-22 00:04:00,86.7
2024-12-22 00:05:00,-110.6
2024-12-22 00:06:00,-100.7
2024-12-22 00:07:00,-132.2
2024-12-22 00:08:00,-132.2
2024-12-22 00:09:00,-131.5
2024-12-22 00:10:00,-97.7
2024-12-22 00:11:00,-35.7
2024-12-22 00:12:00,76.1
2024-12-22 00:13:00,61.2
2024-12-22 00:14:00,86.5
2024-12-22 00:15:00,148.5
2024-12-22 00:16:00,148.5
2024-12-22 00:17:00,148.8
2024-12-22 00:18:00,148.8
2024-12-22 00:19:00,140.6
2024-12-22 00:20:00,147.1
2024-12-22 00:21:00,111.5
2024-12-22 00:22:00,17.7
2024-12-22 00:23:00,4.6
2024-12-22 00:24:00,-109.7
2024-12-22 00:25:00,-133.0
2024-12-22 00:26:00,-132.7
2024-12-22 00:27:00,-132.3
2024-12-22 00:28:00,-132.2
2024-12-22 00:29:00,-132.2
2024-12-22 00:30:00,-129.4
2024-12-22 00:31:00,-131.8
2024-12-22 00:32:00,-132.0
2024-12-22 00:33:00,-131.95
2024-12-22 00:34:00,-131.9
2024-12-22 00:35:00,-131.7
2024-12-22 00:36:00,-131.8
2024-12-22 00:37:00,-126.2
2024-12-22 00:38:00,72.9
2024-12-22 00:39:00,9.5
2024-12-22 00:40:00,-46.2
2024-12-22 00:41:00,23.3
2024-12-22 00:42:00,40.2
2024-12-22 00:43:00,17.0
2024-12-22 00:44:00,36.9
2024-12-22 00:45:00,113.4
2024-12-22 00:46:00,148.6
2024-12-22 00:47:00,148.9
2024-12-22 00:48:00,148.9
2024-12-22 00:49:00,148.9
